Date,Open,High,Low,Close,Volume
26-08-2021,4493.75,4495.9,4468.99,4470,1642206826
27-08-2021,4474.1,4513.33,4474.1,4509.37,1665809773
30-08-2021,4513.76,4537.36,4513.76,4528.79,1564582288
31-08-2021,4529.75,4531.39,4515.8,4522.68,2177504229
01-09-2021,4528.8,4537.11,4522.02,4524.09,1943483583
02-09-2021,4534.48,4545.85,4524.66,4536.95,1778239902
03-09-2021,4532.42,4541.45,4521.3,4535.43,1529886805
07-09-2021,4535.38,4535.38,4513,4520.03,1805777278
08-09-2021,4518.09,4521.79,4493.95,4514.07,1783658630
09-09-2021,4513.02,4529.9,4492.07,4493.28,1837254326
10-09-2021,4506.92,4520.47,4457.66,4458.58,1860497153
13-09-2021,4474.81,4492.99,4445.7,4468.73,2060402092
14-09-2021,4479.33,4485.68,4435.46,4443.05,2021922303
15-09-2021,4447.49,4486.87,4438.37,4480.7,2126502586
16-09-2021,4477.09,4485.87,4443.8,4473.75,1846633558
17-09-2021,4469.74,4471.52,4427.76,4432.99,3770722859
20-09-2021,4402.95,4402.95,4305.91,4357.73,2601202238
21-09-2021,4374.45,4394.87,4347.96,4354.19,1926605020
22-09-2021,4367.43,4416.75,4367.43,4395.64,2024995238
23-09-2021,4406.75,4465.4,4406.75,4448.98,1974708404
24-09-2021,4438.04,4463.12,4430.27,4455.48,1687771288
27-09-2021,4442.12,4457.3,4436.19,4443.11,2044774771
28-09-2021,4419.54,4419.54,4346.33,4352.63,2411082003
29-09-2021,4362.41,4385.57,4355.08,4359.46,1899919741
30-09-2021,4370.67,4382.55,4306.24,4307.54,2292980186
01-10-2021,4317.16,4375.19,4288.52,4357.04,2202907200
04-10-2021,4348.84,4355.51,4278.94,4300.46,2352030389
05-10-2021,4309.87,4369.23,4309.87,4345.72,2026525955
06-10-2021,4319.57,4365.57,4290.49,4363.55,2062682920
07-10-2021,4383.73,4429.97,4383.73,4399.76,1942954035
08-10-2021,4406.51,4412.02,4386.22,4391.34,1683911086
11-10-2021,4385.44,4415.88,4360.59,4361.19,1684626168
12-10-2021,4368.31,4374.89,4342.09,4350.65,1951341517
13-10-2021,4358.01,4372.87,4329.92,4363.8,1928089452
14-10-2021,4386.75,4439.73,4386.75,4438.26,1941352446
15-10-2021,4447.69,4475.82,4447.69,4471.37,2048713822
18-10-2021,4463.72,4488.75,4447.47,4486.46,1871645425
19-10-2021,4497.34,4520.4,4496.41,4519.63,1701720108
20-10-2021,4524.42,4540.87,4524.4,4536.19,1842279378
21-10-2021,4532.24,4551.44,4526.89,4549.78,1903670277
22-10-2021,4546.12,4559.67,4524,4544.9,1820296105
25-10-2021,4553.69,4572.62,4537.36,4566.48,1849843381
26-10-2021,4578.69,4598.53,4569.17,4574.79,2018287292
27-10-2021,4580.22,4584.57,4551.66,4551.68,2255666226
28-10-2021,4562.84,4597.55,4562.84,4596.42,2180879850
29-10-2021,4572.87,4608.08,4567.59,4605.38,2350301616
01-11-2021,4610.62,4620.34,4595.06,4613.67,2033758725
02-11-2021,4613.34,4635.15,4613.34,4630.65,2156232672
03-11-2021,4630.65,4663.46,4621.19,4660.57,2155080069
04-11-2021,4662.93,4683,4662.59,4680.06,2514981463
05-11-2021,4699.26,4718.5,4681.32,4697.53,2604934263
08-11-2021,4701.48,4714.92,4694.39,4701.7,2208829524
09-11-2021,4707.25,4708.53,4670.87,4685.25,2077878164
10-11-2021,4670.26,4684.85,4630.86,4646.71,2141600225
11-11-2021,4659.39,4664.55,4648.31,4649.27,1745650301
12-11-2021,4655.24,4688.47,4650.77,4682.85,1878873391
15-11-2021,4689.3,4697.42,4672.86,4682.8,1821708114
16-11-2021,4679.42,4714.95,4679.42,4700.9,1969710437
17-11-2021,4701.5,4701.5,4684.41,4688.67,2073793765
18-11-2021,4700.72,4708.8,4672.78,4704.54,2229419489
19-11-2021,4708.44,4717.75,4694.22,4697.96,2452147236
22-11-2021,4712,4743.83,4682.17,4682.94,2465454579
23-11-2021,4678.48,4699.39,4652.66,4690.7,2230377284
24-11-2021,4675.78,4702.87,4659.89,4701.46,1849716721
26-11-2021,4664.63,4664.63,4585.43,4594.62,2132760977
29-11-2021,4628.75,4672.95,4625.26,4655.27,2505188610
30-11-2021,4640.25,4646.02,4560,4567,4064157980
01-12-2021,4602.82,4652.94,4510.27,4513.04,3055980587
02-12-2021,4504.73,4595.46,4504.73,4577.1,2801558306
03-12-2021,4589.49,4608.03,4495.12,4538.43,2714009311
06-12-2021,4548.37,4612.6,4540.51,4591.67,2591430683
07-12-2021,4631.97,4694.04,4631.97,4686.75,2483715209
08-12-2021,4690.86,4705.06,4674.52,4701.21,2169237673
09-12-2021,4691,4695.26,4665.98,4667.45,2021704694
10-12-2021,4687.64,4713.57,4670.24,4712.02,2130792886
13-12-2021,4710.3,4710.3,4667.6,4668.97,2427488597
14-12-2021,4642.99,4660.47,4606.52,4634.09,2481788465
15-12-2021,4636.46,4712.6,4611.22,4709.85,2575621271
16-12-2021,4719.13,4731.99,4651.89,4668.67,2745064817
17-12-2021,4652.5,4666.7,4600.22,4620.64,4573690712
20-12-2021,4587.9,4587.9,4531.1,4568.02,2468207427
21-12-2021,4594.96,4651.14,4583.16,4649.23,2298114520
22-12-2021,4650.36,4697.67,4645.53,4696.56,1874604891
23-12-2021,4703.96,4740.74,4703.96,4725.79,1617243125
27-12-2021,4733.99,4791.49,4733.99,4791.19,1503734418
28-12-2021,4795.49,4807.02,4780.04,4786.35,1432143549
29-12-2021,4788.64,4804.06,4778.08,4793.06,1365873126
30-12-2021,4794.23,4808.93,4775.33,4778.73,1353236996
31-12-2021,4775.21,4786.83,4765.75,4766.18,1339318824
03-01-2022,4778.14,4796.64,4758.17,4796.56,2241373299
